cement,slag,flyash,scm,water,superplasticizer,coarse_agg,fine_agg,binder,w_b_ratio,recycled_agg_pct,fiber_pct,fiber_type,fiber_length,age,compressive_strength,tensile_strength,scm_frac,fiber_flag,total_aggregate,agg_to_binder_ratio
540.0,0.0,0.0,0.0,162.0,2.5,1040.0,676.0,540.0,0.3,0.0,0.0,none,0,28,79.99,0,0.0,0,1716.0,3.1777777777777776
540.0,0.0,0.0,0.0,162.0,2.5,1055.0,676.0,540.0,0.3,0.0,0.0,none,0,28,61.89,0,0.0,0,1731.0,3.2055555555555557
332.5,142.5,0.0,142.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,270,40.27,0,0.3,0,1526.0,3.2126315789473683
332.5,142.5,0.0,142.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,365,41.05,0,0.3,0,1526.0,3.2126315789473683
198.6,132.4,0.0,132.4,192.0,0.0,978.4,825.5,331.0,0.5800604229607251,0.0,0.0,none,0,360,44.3,0,0.4,0,1803.9,5.449848942598187
266.0,114.0,0.0,114.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,90,47.03,0,0.3,0,1602.0,4.21578947368421
380.0,95.0,0.0,95.0,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,365,43.7,0,0.2,0,1526.0,3.2126315789473683
380.0,95.0,0.0,95.0,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,28,36.45,0,0.2,0,1526.0,3.2126315789473683
266.0,114.0,0.0,114.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,28,45.85,0,0.3,0,1602.0,4.21578947368421
475.0,0.0,0.0,0.0,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,28,39.29,0,0.0,0,1526.0,3.2126315789473683
198.6,132.4,0.0,132.4,192.0,0.0,978.4,825.5,331.0,0.5800604229607251,0.0,0.0,none,0,90,38.07,0,0.4,0,1803.9,5.449848942598187
198.6,132.4,0.0,132.4,192.0,0.0,978.4,825.5,331.0,0.5800604229607251,0.0,0.0,none,0,28,28.02,0,0.4,0,1803.9,5.449848942598187
427.5,47.5,0.0,47.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,270,43.01,0,0.1,0,1526.0,3.2126315789473683
190.0,190.0,0.0,190.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,90,42.33,0,0.5,0,1602.0,4.21578947368421
304.0,76.0,0.0,76.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,28,47.81,0,0.2,0,1602.0,4.21578947368421
380.0,0.0,0.0,0.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,90,52.91,0,0.0,0,1602.0,4.21578947368421
139.6,209.4,0.0,209.4,192.0,0.0,1047.0,806.9,349.0,0.5501432664756447,0.0,0.0,none,0,90,39.36,0,0.6,0,1853.9,5.312034383954155
342.0,38.0,0.0,38.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,365,56.14,0,0.1,0,1602.0,4.21578947368421
380.0,95.0,0.0,95.0,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,90,40.56,0,0.2,0,1526.0,3.2126315789473683
475.0,0.0,0.0,0.0,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,180,42.62,0,0.0,0,1526.0,3.2126315789473683
427.5,47.5,0.0,47.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,180,41.84,0,0.1,0,1526.0,3.2126315789473683
139.6,209.4,0.0,209.4,192.0,0.0,1047.0,806.9,349.0,0.5501432664756447,0.0,0.0,none,0,28,28.24,0,0.6,0,1853.9,5.312034383954155
139.6,209.4,0.0,209.4,192.0,0.0,1047.0,806.9,349.0,0.5501432664756447,0.0,0.0,none,0,3,8.06,0,0.6,0,1853.9,5.312034383954155
139.6,209.4,0.0,209.4,192.0,0.0,1047.0,806.9,349.0,0.5501432664756447,0.0,0.0,none,0,180,44.21,0,0.6,0,1853.9,5.312034383954155
380.0,0.0,0.0,0.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,365,52.52,0,0.0,0,1602.0,4.21578947368421
380.0,0.0,0.0,0.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,270,53.3,0,0.0,0,1602.0,4.21578947368421
380.0,95.0,0.0,95.0,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,270,41.15,0,0.2,0,1526.0,3.2126315789473683
342.0,38.0,0.0,38.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,180,52.12,0,0.1,0,1602.0,4.21578947368421
427.5,47.5,0.0,47.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,28,37.43,0,0.1,0,1526.0,3.2126315789473683
475.0,0.0,0.0,0.0,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,7,38.6,0,0.0,0,1526.0,3.2126315789473683
304.0,76.0,0.0,76.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,365,55.26,0,0.2,0,1602.0,4.21578947368421
266.0,114.0,0.0,114.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,365,52.91,0,0.3,0,1602.0,4.21578947368421
198.6,132.4,0.0,132.4,192.0,0.0,978.4,825.5,331.0,0.5800604229607251,0.0,0.0,none,0,180,41.72,0,0.4,0,1803.9,5.449848942598187
475.0,0.0,0.0,0.0,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,270,42.13,0,0.0,0,1526.0,3.2126315789473683
190.0,190.0,0.0,190.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,365,53.69,0,0.5,0,1602.0,4.21578947368421
237.5,237.5,0.0,237.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,270,38.41,0,0.5,0,1526.0,3.2126315789473683
237.5,237.5,0.0,237.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,28,30.08,0,0.5,0,1526.0,3.2126315789473683
332.5,142.5,0.0,142.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,90,37.72,0,0.3,0,1526.0,3.2126315789473683
475.0,0.0,0.0,0.0,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,90,42.23,0,0.0,0,1526.0,3.2126315789473683
237.5,237.5,0.0,237.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,180,36.25,0,0.5,0,1526.0,3.2126315789473683
342.0,38.0,0.0,38.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,90,50.46,0,0.1,0,1602.0,4.21578947368421
427.5,47.5,0.0,47.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,365,43.7,0,0.1,0,1526.0,3.2126315789473683
237.5,237.5,0.0,237.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,365,39.0,0,0.5,0,1526.0,3.2126315789473683
380.0,0.0,0.0,0.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,180,53.1,0,0.0,0,1602.0,4.21578947368421
427.5,47.5,0.0,47.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,90,41.54,0,0.1,0,1526.0,3.2126315789473683
427.5,47.5,0.0,47.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,7,35.08,0,0.1,0,1526.0,3.2126315789473683
349.0,0.0,0.0,0.0,192.0,0.0,1047.0,806.9,349.0,0.5501432664756447,0.0,0.0,none,0,3,15.05,0,0.0,0,1853.9,5.312034383954155
380.0,95.0,0.0,95.0,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,180,40.76,0,0.2,0,1526.0,3.2126315789473683
237.5,237.5,0.0,237.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,7,26.26,0,0.5,0,1526.0,3.2126315789473683
380.0,95.0,0.0,95.0,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,7,32.82,0,0.2,0,1526.0,3.2126315789473683
332.5,142.5,0.0,142.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,180,39.78,0,0.3,0,1526.0,3.2126315789473683
190.0,190.0,0.0,190.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,180,46.93,0,0.5,0,1602.0,4.21578947368421
237.5,237.5,0.0,237.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,90,33.12,0,0.5,0,1526.0,3.2126315789473683
304.0,76.0,0.0,76.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,90,49.19,0,0.2,0,1602.0,4.21578947368421
139.6,209.4,0.0,209.4,192.0,0.0,1047.0,806.9,349.0,0.5501432664756447,0.0,0.0,none,0,7,14.59,0,0.6,0,1853.9,5.312034383954155
198.6,132.4,0.0,132.4,192.0,0.0,978.4,825.5,331.0,0.5800604229607251,0.0,0.0,none,0,7,14.64,0,0.4,0,1803.9,5.449848942598187
475.0,0.0,0.0,0.0,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,365,41.93,0,0.0,0,1526.0,3.2126315789473683
198.6,132.4,0.0,132.4,192.0,0.0,978.4,825.5,331.0,0.5800604229607251,0.0,0.0,none,0,3,9.13,0,0.4,0,1803.9,5.449848942598187
304.0,76.0,0.0,76.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,180,50.95,0,0.2,0,1602.0,4.21578947368421
332.5,142.5,0.0,142.5,228.0,0.0,932.0,594.0,475.0,0.48,0.0,0.0,none,0,28,33.02,0,0.3,0,1526.0,3.2126315789473683
304.0,76.0,0.0,76.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,270,54.38,0,0.2,0,1602.0,4.21578947368421
266.0,114.0,0.0,114.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,270,51.73,0,0.3,0,1602.0,4.21578947368421
310.0,0.0,0.0,0.0,192.0,0.0,971.0,850.6,310.0,0.6193548387096774,0.0,0.0,none,0,3,9.87,0,0.0,0,1821.6,5.876129032258064
190.0,190.0,0.0,190.0,228.0,0.0,932.0,670.0,380.0,0.6,0.0,0.0,none,0,270,50.66,0,0.5,0,1602.0,4.21578947368421
